id,name,alcoholic,category,glassType,instructions,drinkThumbnail,ingredients,ingredientMeasures,text
12,Addison,alcoholic,cocktail,martini glass,Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,"['gin', 'vermouth']","['1 1/2 shot ', '1 1/2 shot ']",question Generate a cocktail with Gin Vermouth answer Shake together all the ingredients and strain into a cold glass.
13,Applecar,alcoholic,ordinary drink,cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,"['applejack', 'triple sec', 'lemon juice']","['1 oz ', '1 oz ', '1 oz ']","question Generate a cocktail with Applejack Triple sec Lemon juice answer Shake all ingredients with ice, strain into a cocktail glass, and serve."
14,Acapulco,alcoholic,ordinary drink,old-fashioned glass,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,"['light rum', 'triple sec', 'lime juice', 'sugar', 'egg white', 'mint']","['1 1/2 oz ', '1 1/2 tsp ', '1 tblsp ', '1 tsp ', '1 ', '1 ']",question Generate a cocktail with Light rum Triple sec Lime juice Sugar Egg white Mint answer Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.
15,Affinity,alcoholic,ordinary drink,cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg,"['scotch', 'sweet vermouth', 'dry vermouth', 'orange bitters']","['1 1/2 oz ', '1 oz ', '1 oz ', '2 dashes ']","question Generate a cocktail with Scotch Sweet Vermouth Dry Vermouth Orange bitters answer In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
16,Aviation,alcoholic,cocktail,cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg,"['gin', 'lemon juice', 'maraschino liqueur']","['4.5 cl', '1.5 cl', '1.5 cl']",question Generate a cocktail with Gin lemon juice maraschino liqueur answer Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.
17,After sex,alcoholic,ordinary drink,highball glass,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,https://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,"['vodka', 'creme de banane', 'orange juice']","['2 cl ', '1 cl ', 'to taste']",question Generate a cocktail with Vodka Creme de Banane Orange juice answer Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar
18,Applejack,alcoholic,cocktail,cocktail glass,"Add all ingredients into mixing glass, chill and strain into cocktail glass",https://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,"['jack daniels', 'midori melon liqueur', 'sour mix']","['1 oz ', '1/2 oz ', '2 oz ']","question Generate a cocktail with Jack Daniels Midori melon liqueur Sour mix answer Add all ingredients into mixing glass, chill and strain into cocktail glass"
19,Afterglow,non alcoholic,cocktail,highball glass,Mix. Serve over ice.,https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,"['grenadine', 'orange juice', 'pineapple juice']","['1 part ', '4 parts ', '4 parts ']",question Generate a cocktail with Grenadine Orange juice Pineapple juice answer Mix. Serve over ice.
20,Afternoon,alcoholic,coffee / tea,collins glass,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,"['kahlua', 'baileys irish cream', 'frangelico', 'coffee', 'cream']","['1 cl ', '1 cl ', '1 1/2 ', '4 cl hot ', 'to taste']","question Generate a cocktail with Kahlua Baileys irish cream Frangelico Coffee Cream answer Build into a suiting glass, with no ice. Cream on top if wanted. Served directly."
21,Alexander,alcoholic,ordinary drink,cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,https://www.thecocktaildb.com/images/media/drink/0clus51606772388.jpg,"['gin', 'creme de cacao', 'light cream', 'nutmeg']","['1/2 oz ', '1/2 oz white ', '2 oz ', 'to taste']",question Generate a cocktail with Gin Creme de Cacao Light cream Nutmeg answer Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.
22,Autodafé,alcoholic,ordinary drink,highball glass,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg,"['vodka', 'lime juice', 'soda water']","['4 cl ', '1 dash ', 'to taste']",question Generate a cocktail with Vodka Lime juice Soda water answer Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.
23,Allegheny,alcoholic,ordinary drink,cocktail glass,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,"['dry vermouth', 'bourbon', 'blackberry brandy', 'lemon juice', 'lemon peel']","['1 oz ', '1 oz ', '1 1/2 tsp ', '1 1/2 tsp ', '1 twist of ']",question Generate a cocktail with Dry Vermouth Bourbon Blackberry brandy Lemon juice Lemon peel answer Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.
24,Americano,alcoholic,ordinary drink,collins glass,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",https://www.thecocktaildb.com/images/media/drink/709s6m1613655124.jpg,"['campari', 'sweet vermouth', 'lemon peel', 'orange peel']","['1 oz ', '1 oz red ', 'Twist of ', 'Twist of ']","question Generate a cocktail with Campari Sweet Vermouth Lemon peel Orange peel answer Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice."
25,B-52,alcoholic,shot,shot glass,Layer ingredients into a shot glass. Serve with a stirrer.,https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg,"['baileys irish cream', 'grand marnier', 'kahlua']","['1/3 ', '1/3 ', '1/4 ']",question Generate a cocktail with Baileys irish cream Grand Marnier Kahlua answer Layer ingredients into a shot glass. Serve with a stirrer.
26,B-53,alcoholic,shot,collins glass,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52",https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,"['kahlua', 'sambuca', 'grand marnier']","['1/3 shot ', '1/3 shot ', '1/3 shot ']","question Generate a cocktail with Kahlua Sambuca Grand Marnier answer Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52"
27,Bijou,alcoholic,cocktail,cocktail glass,"Stir in mixing glass with ice and strain
",https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg,"['orange bitters', 'green chartreuse', 'gin', 'sweet vermouth']","['1 dash', '1 oz', '1 oz', '1 oz']","question Generate a cocktail with Orange Bitters Green Chartreuse Gin Sweet Vermouth answer Stir in mixing glass with ice and strain
"
28,Boxcar,alcoholic,ordinary drink,whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,"['gin', 'triple sec', 'lemon juice', 'grenadine', 'egg white']","['1 1/2 oz ', '1 oz ', '1 tsp ', '1/2 tsp ', '1 ']","question Generate a cocktail with Gin Triple sec Lemon juice Grenadine Egg white answer In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass."
29,Big Red,alcoholic,shot,shot glass,Pour ingredients into 1 ounce shot glass,https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,"['irish cream', 'goldschlager']","['1/2 oz ', '1/2 oz ']",question Generate a cocktail with Irish cream Goldschlager answer Pour ingredients into 1 ounce shot glass
30,Bellini,alcoholic,ordinary drink,champagne flute,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.",https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg,"['champagne', 'peach schnapps']","['6 oz ', '1 oz ']","question Generate a cocktail with Champagne Peach schnapps answer Pour peach purée into chilled flute, add sparkling wine. Stir gently."
31,Bramble,alcoholic,ordinary drink,old-fashioned glass,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",https://www.thecocktaildb.com/images/media/drink/twtbh51630406392.jpg,"['gin', 'lemon juice', 'sugar syrup', 'creme de mure']","['4 cl', '1.5 cl', '1 cl', '1.5 cl']","question Generate a cocktail with Gin lemon juice Sugar syrup Creme de Mure answer Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice."
32,Balmoral,alcoholic,ordinary drink,cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg,"['scotch', 'sweet vermouth', 'dry vermouth', 'bitters']","['1 1/2 oz ', '1/2 oz ', '1/2 oz ', '2 dashes ']","question Generate a cocktail with Scotch Sweet Vermouth Dry Vermouth Bitters answer In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
33,Bluebird,alcoholic,ordinary drink,cocktail glass,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",https://www.thecocktaildb.com/images/media/drink/5jhyd01582579843.jpg,"['gin', 'triple sec', 'blue curacao', 'bitters', 'maraschino cherry', 'lemon peel']","['1 1/2 oz ', '1/2 oz ', '1/2 oz ', '2 dashes ', '1 ', '1 twist of ']","question Generate a cocktail with Gin Triple sec Blue Curacao Bitters Maraschino cherry Lemon peel answer In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry."
34,Brooklyn,alcoholic,cocktail,cocktail glass,Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/ojsezf1582477277.jpg,"['rye whiskey', 'dry vermouth', 'maraschino liqueur', 'angostura bitters', 'maraschino cherry']","['2 oz', '1 oz', '1/4 oz', '3 dashes', '1']",question Generate a cocktail with Rye Whiskey Dry Vermouth Maraschino Liqueur Angostura Bitters Maraschino Cherry answer Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.
35,Bora Bora,non alcoholic,cocktail,highball glass,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",https://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,"['pineapple juice', 'passion fruit juice', 'lemon juice', 'grenadine']","['10 cl ', '6 cl ', '1 cl ', '1 cl ']","question Generate a cocktail with Pineapple juice Passion fruit juice Lemon juice Grenadine answer Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry."
36,Boomerang,alcoholic,ordinary drink,cocktail glass,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",https://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,"['gin', 'dry vermouth', 'bitters', 'maraschino liqueur', 'maraschino cherry']","['2 oz ', '1/2 oz ', '2 dashes ', '1/2 tsp ', '1 ']","question Generate a cocktail with Gin Dry Vermouth Bitters Maraschino liqueur Maraschino cherry answer In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry."
37,Barracuda,alcoholic,ordinary drink,margarita glass,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",https://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg,"['rum', 'galliano', 'pineapple juice', 'lime juice', 'prosecco']","['4.5 cl', '1.5 cl', '6 cl', ' 1 dash', 'top up ']","question Generate a cocktail with Rum Galliano Pineapple Juice Lime Juice Prosecco answer Shake pour ingredients with ice. Strain into glass, top with Sparkling wine."
38,Brigadier,alcoholic,cocktail,coupe glass,Mix ingredients in a warmed mug and stir.,https://www.thecocktaildb.com/images/media/drink/nl89tf1518947401.jpg,"['hot chocolate', 'green chartreuse', 'cherry heering']","['4 oz', '1 oz', '1 oz']",question Generate a cocktail with Hot Chocolate Green Chartreuse Cherry Heering answer Mix ingredients in a warmed mug and stir.
39,Broadside,alcoholic,cocktail,highball glass,"Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!",https://www.thecocktaildb.com/images/media/drink/l2o6xu1582476870.jpg,"['151 proof rum', 'scotch', 'bitters', 'wormwood', 'ice']","['1 shot', '1/2 shot', '3 drops', '1 Fresh', 'cubes']","question Generate a cocktail with 151 proof rum Scotch Bitters Wormwood Ice answer Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!"
40,Buccaneer,alcoholic,beer,beer pilsner,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,https://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,"['corona', 'bacardi limon']","['1 ', '1 shot ']",question Generate a cocktail with Corona Bacardi Limon answer Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently
41,Brain Fart,alcoholic,punch / party drink,punch bowl,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,https://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,"['everclear', 'vodka', 'mountain dew', 'surge', 'lemon juice', 'rum']","['1 fifth ', '1 fifth Smirnoff red label ', '2 L ', '2 L ', '1 small bottle ', '1 pint ']",question Generate a cocktail with Everclear Vodka Mountain Dew Surge Lemon juice Rum answer Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.
42,Blackthorn,alcoholic,ordinary drink,cocktail glass,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/dgj92f1616098672.jpg,"['sweet vermouth', 'sloe gin', 'lemon peel']","['1 oz ', '1 1/2 oz ', '1 twist of ']",question Generate a cocktail with Sweet Vermouth Sloe gin Lemon peel answer Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.
43,Bob Marley,alcoholic,shot,shot glass,Layer in a 2 oz shot glass or pony glass,https://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,"['midori melon liqueur', 'jägermeister', 'goldschlager']","['1/2 oz ', '1/2 oz ', '1/2 oz ']",question Generate a cocktail with Midori melon liqueur Jägermeister Goldschlager answer Layer in a 2 oz shot glass or pony glass
44,Bible Belt,alcoholic,other / unknown,highball glass,"Mix all ingredients, and pour over ice.",https://www.thecocktaildb.com/images/media/drink/6bec6v1503563675.jpg,"['southern comfort', 'triple sec', 'lime', 'sour mix']","['2 oz ', '1/2 oz ', '2 wedges ', '2 oz ']","question Generate a cocktail with Southern Comfort Triple sec Lime Sour mix answer Mix all ingredients, and pour over ice."
45,Bubble Gum,alcoholic,shot,shot glass,Layer in order into a shot glass.,https://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg,"['vodka', 'banana liqueur', 'orange juice', 'peach schnapps']","['1/4 ', '1/4 ', '1/4 ', '1/4 ']",question Generate a cocktail with Vodka Banana liqueur Orange juice Peach schnapps answer Layer in order into a shot glass.
46,Bumble Bee,alcoholic,shot,shot glass,"This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!",https://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg,"['baileys irish cream', 'kahlua', 'sambuca']","['1/3 oz ', '1/3 oz ', '1/3 oz ']","question Generate a cocktail with Baileys irish cream Kahlua Sambuca answer This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!"
47,Baby Eskimo,alcoholic,shake,collins glass,"Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink.",https://www.thecocktaildb.com/images/media/drink/wywrtw1472720227.jpg,"['kahlua', 'milk', 'vanilla ice-cream']","['2 oz ', '8 oz ', '2 scoops ']","question Generate a cocktail with Kahlua Milk Vanilla ice-cream answer Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink."
48,Boston Sour,alcoholic,ordinary drink,whiskey sour glass,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg,"['blended whiskey', 'lemon', 'powdered sugar', 'egg white', 'lemon', 'cherry']","['2 oz ', 'Juice of 1/2 ', '1 tsp ', '1 ', '1 slice ', '1 ']","question Generate a cocktail with Blended whiskey Lemon Powdered sugar Egg white Lemon Cherry answer Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve."
49,Bahama Mama,alcoholic,cocktail,highball glass,"Add 2 parts club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw.",https://www.thecocktaildb.com/images/media/drink/tyb4a41515793339.jpg,"['rum', 'dark rum', 'banana liqueur', 'grenadine', 'pineapple juice', 'orange juice', 'sweet and sour']","['3 parts', '1 part', '1 part', '1 part', '2 parts', '2 parts', '1 part']","question Generate a cocktail with Rum Dark Rum Banana liqueur Grenadine Pineapple Juice Orange Juice Sweet and Sour answer Add 2 parts club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw."
50,Casino,alcoholic,ordinary drink,cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,https://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,"['gin', 'maraschino liqueur', 'lemon juice', 'orange bitters', 'cherry']","['2 oz ', '1/4 tsp ', '1/4 tsp ', '2 dashes ', '1 ']",question Generate a cocktail with Gin Maraschino liqueur Lemon juice Orange bitters Cherry answer Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.
51,Cafe Savoy,alcoholic,coffee / tea,coffee mug,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",https://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,"['coffee', 'milk', 'triple sec', 'brandy']","['to taste', '1/2 oz ', '1/2 oz ', 'to taste']","question Generate a cocktail with Coffee Milk Triple sec Brandy answer Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir."
52,Caipirinha,alcoholic,ordinary drink,old-fashioned glass,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,https://www.thecocktaildb.com/images/media/drink/jgvn7p1582484435.jpg,"['sugar', 'lime', 'cachaca']","['2 tsp', '1 ', '2 1/2 oz ']",question Generate a cocktail with Sugar Lime Cachaca answer Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.
53,Cream Soda,alcoholic,cocktail,highball glass,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,https://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg,"['spiced rum', 'ginger ale']","['1 oz ', 'to taste']",question Generate a cocktail with Spiced rum Ginger ale answer Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.
54,Cuba Libra,alcoholic,ordinary drink,highball glass,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,https://www.thecocktaildb.com/images/media/drink/ck6d0p1504388696.jpg,"['dark rum', 'lime', 'coca-cola', 'ice']","['1-2 shot ', 'Squeeze ', 'Fill with ', 'to taste']",question Generate a cocktail with Dark rum Lime Coca-Cola Ice answer Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!
55,Cherry Rum,alcoholic,ordinary drink,cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg,"['light rum', 'cherry brandy', 'light cream']","['1 1/4 oz ', '1 1/2 tsp ', '1 tblsp ']","question Generate a cocktail with Light rum Cherry brandy Light cream answer Shake all ingredients with ice, strain into a cocktail glass, and serve."
56,Cuba Libre,alcoholic,ordinary drink,highball glass,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,https://www.thecocktaildb.com/images/media/drink/wmkbfj1606853905.jpg,"['light rum', 'lime', 'coca-cola']","['2 oz ', 'Juice of 1/2 ', 'to taste']",question Generate a cocktail with Light rum Lime Coca-Cola answer Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.
57,Corn n Oil,alcoholic,cocktail,old-fashioned glass,"Cut the half lime in half again. Add the lime, falernum, and bitters to a rocks glass. Muddle. Add the rum. (Aged Barbados rum such as Plantation 5 Year is recommended). Add ice and stir. Float the blackstrap rum on top. Serve with a straw.",https://www.thecocktaildb.com/images/media/drink/pk6dwi1592767243.jpg,"['lime', 'falernum', 'angostura bitters', 'añejo rum', 'blackstrap rum']","['1/2', '1/3 oz', '2 dashes', '1 oz', '1 oz']","question Generate a cocktail with Lime Falernum Angostura Bitters Añejo rum blackstrap rum answer Cut the half lime in half again. Add the lime, falernum, and bitters to a rocks glass. Muddle. Add the rum. (Aged Barbados rum such as Plantation 5 Year is recommended). Add ice and stir. Float the blackstrap rum on top. Serve with a straw."
