cocktail_id,name,instructions,image_url,category_id,glass_id,alcoholic
12,Almeria,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,11,1,1.0
13,Addison,Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,12,3,1.0
14,Applecar,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,13,1,1.0
15,Acapulco,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,14,6,1.0
16,Affinity,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg,15,1,1.0
17,Aviation,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg,16,1,1.0
18,After sex,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,https://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,17,4,1.0
19,Applejack,"Add all ingredients into mixing glass, chill and strain into cocktail glass",https://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,18,1,1.0
20,Afterglow,Mix. Serve over ice.,https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,19,4,0.0
21,Afternoon,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,20,5,1.0
22,Alexander,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,https://www.thecocktaildb.com/images/media/drink/0clus51606772388.jpg,21,1,1.0
23,Autodafé,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg,22,4,1.0
24,Allegheny,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,23,1,1.0
25,Americano,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",https://www.thecocktaildb.com/images/media/drink/709s6m1613655124.jpg,24,5,1.0
26,B-52,Layer ingredients into a shot glass. Serve with a stirrer.,https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg,25,2,1.0
27,B-53,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52",https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,26,5,1.0
28,Bijou,"Stir in mixing glass with ice and strain
",https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg,27,1,1.0
29,Boxcar,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,28,7,1.0
30,Big Red,Pour ingredients into 1 ounce shot glass,https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,29,2,1.0
31,Bellini,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.",https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg,30,8,1.0
32,Bramble,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",https://www.thecocktaildb.com/images/media/drink/twtbh51630406392.jpg,31,6,1.0
33,Balmoral,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg,32,1,1.0
34,Bluebird,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",https://www.thecocktaildb.com/images/media/drink/5jhyd01582579843.jpg,33,1,1.0
35,Brooklyn,Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/ojsezf1582477277.jpg,34,1,1.0
36,Bora Bora,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",https://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,35,4,0.0
37,Boomerang,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",https://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,36,1,1.0
38,Barracuda,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",https://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg,37,9,1.0
39,Brigadier,Mix ingredients in a warmed mug and stir.,https://www.thecocktaildb.com/images/media/drink/nl89tf1518947401.jpg,38,10,1.0
40,Broadside,"Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!",https://www.thecocktaildb.com/images/media/drink/l2o6xu1582476870.jpg,39,4,1.0
41,Buccaneer,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,https://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,40,11,1.0
42,Brain Fart,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,https://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,41,12,1.0
43,Blackthorn,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/dgj92f1616098672.jpg,42,1,1.0
44,Bob Marley,Layer in a 2 oz shot glass or pony glass,https://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,43,2,1.0
45,Bible Belt,"Mix all ingredients, and pour over ice.",https://www.thecocktaildb.com/images/media/drink/6bec6v1503563675.jpg,44,4,1.0
46,Bubble Gum,Layer in order into a shot glass.,https://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg,45,2,1.0
47,Bumble Bee,"This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!",https://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg,46,2,1.0
48,Baby Eskimo,"Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink.",https://www.thecocktaildb.com/images/media/drink/wywrtw1472720227.jpg,47,5,1.0
49,Boston Sour,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg,48,7,1.0
50,Bahama Mama,"Add 2 parts club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw.",https://www.thecocktaildb.com/images/media/drink/tyb4a41515793339.jpg,49,4,1.0
51,Casino,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,https://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,50,1,1.0
52,Cafe Savoy,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",https://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,51,13,1.0
53,Caipirinha,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,https://www.thecocktaildb.com/images/media/drink/jgvn7p1582484435.jpg,52,6,1.0
54,Cream Soda,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,https://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg,53,4,1.0
55,Cuba Libra,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,https://www.thecocktaildb.com/images/media/drink/ck6d0p1504388696.jpg,54,4,1.0
56,Cherry Rum,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg,55,1,1.0
57,Cuba Libre,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,https://www.thecocktaildb.com/images/media/drink/wmkbfj1606853905.jpg,56,4,1.0
58,Corn n Oil,"Cut the half lime in half again. Add the lime, falernum, and bitters to a rocks glass. Muddle. Add the rum. (Aged Barbados rum such as Plantation 5 Year is recommended). Add ice and stir. Float the blackstrap rum on top. Serve with a straw.",https://www.thecocktaildb.com/images/media/drink/pk6dwi1592767243.jpg,57,6,1.0
59,Citrus Coke,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,https://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg,58,4,1.0
60,Casa Blanca,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/usspxq1441553762.jpg,59,1,1.0
61,Clover Club,"Dry shake ingredients to emulsify, add ice, shake and served straight up.",https://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg,60,1,1.0
62,Caipirissima,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,https://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg,61,5,1.0
63,City Slicker,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg,62,1,1.0
64,Campari Beer,Use a 15 oz glass. Add Campari first. Fill with beer.,https://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg,63,14,1.0
65,Chicago Fizz,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg,64,4,1.0
66,Cosmopolitan,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg,65,1,1.0
67,Coffee-Vodka,"Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product.",https://www.thecocktaildb.com/images/media/drink/qvrrvu1472667494.jpg,66,5,1.0
68,Casino Royale,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",https://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg,67,7,1.0
69,Corpse Reviver,"Shake, strain, straight up, cocktail glass rinsed with absinthe
",https://www.thecocktaildb.com/images/media/drink/gifgao1513704334.jpg,68,1,1.0
70,Chocolate Milk,"Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!",https://www.thecocktaildb.com/images/media/drink/j6q35t1504889399.jpg,69,2,1.0
71,Clove Cocktail,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/qxvtst1461867579.jpg,70,1,1.0
72,Coffee Liqueur,"Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.",https://www.thecocktaildb.com/images/media/drink/ryvtsu1441253851.jpg,71,5,1.0
73,Coke and Drops,"Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass.",https://www.thecocktaildb.com/images/media/drink/yrtxxp1472719367.jpg,72,1,0.0
74,Chocolate Drink,"Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug.",https://www.thecocktaildb.com/images/media/drink/q7w4xu1487603180.jpg,73,13,0.0
75,Cranberry Punch,"Combine first four ingredients. Stir until sugar is dissolved, chill. Then add ginger ale just before serving. Add ice ring to keep punch cold.",https://www.thecocktaildb.com/images/media/drink/mzgaqu1504389248.jpg,74,12,0.0
76,Derby,Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.,https://www.thecocktaildb.com/images/media/drink/52weey1606772672.jpg,75,1,1.0
77,Diesel,Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.,https://www.thecocktaildb.com/images/media/drink/sxrrqq1454512852.jpg,76,15,1.0
78,Daiquiri,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/mrz9091589574515.jpg,77,1,1.0
79,Danbooka,pour it in and mix it.,https://www.thecocktaildb.com/images/media/drink/vurrxr1441246074.jpg,78,13,1.0
80,Downshift,"Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional.",https://www.thecocktaildb.com/images/media/drink/y36z8c1503563911.jpg,79,16,1.0
81,Dragonfly,"In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.",https://www.thecocktaildb.com/images/media/drink/uc63bh1582483589.jpg,80,4,1.0
82,Dry Martini,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",https://www.thecocktaildb.com/images/media/drink/6ck9yi1589574317.jpg,81,1,1.0
83,Dry Rob Roy,"In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",https://www.thecocktaildb.com/images/media/drink/typuyq1439456976.jpg,82,1,1.0
84,Dirty Nipple,This is a layered shot - the Bailey's must be on top,https://www.thecocktaildb.com/images/media/drink/vtyqrt1461866508.jpg,83,2,1.0
85,Dirty Martini,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",https://www.thecocktaildb.com/images/media/drink/vcyvpq1485083300.jpg,84,1,1.0
86,Darkwood Sling,"There are many good cherry liqueurs you can use, but I prefere Heering. Add one share of the liqueur. Then you add one share of Soda. For a sour sling use Tonic (most people prefer the drink without Tonic). Afterwards you fill the glass with Orange Juice and ice cubes.",https://www.thecocktaildb.com/images/media/drink/sxxsyq1472719303.jpg,85,1,1.0
87,Dark and Stormy,In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.,https://www.thecocktaildb.com/images/media/drink/t1tn0s1504374905.jpg,86,4,1.0
88,Dark Caipirinha,"Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well.",https://www.thecocktaildb.com/images/media/drink/uwstrx1472406058.jpg,87,4,1.0
89,Duchamp's Punch,"Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs",https://www.thecocktaildb.com/images/media/drink/g51naw1485084685.jpg,88,6,1.0
90,Damned if you do,Pour into shot glass. Put in mouth. Repeat as deemed necessary.,https://www.thecocktaildb.com/images/media/drink/ql7bmx1503565106.jpg,89,2,1.0
91,Dubonnet Cocktail,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/pfz3hz1582483111.jpg,90,1,1.0
92,Drinking Chocolate,"Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug.",https://www.thecocktaildb.com/images/media/drink/u6jrdf1487603173.jpg,91,13,0.0
93,Death in the Afternoon,"Easy as you like, pour the absinthe into a chilled glass, top with champagne. Must be drunk mid afternoon for the optimum effect.",https://www.thecocktaildb.com/images/media/drink/y7s3rh1598719574.jpg,92,9,1.0
94,Egg Cream,"Mix syrup and milk in a fountain glass. Add soda water, serve with a straw.",https://www.thecocktaildb.com/images/media/drink/mvis731484430445.jpg,93,13,0.0
95,Egg Nog #4,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.",https://www.thecocktaildb.com/images/media/drink/wpspsy1468875747.jpg,94,12,Unknown
96,English Highball,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",https://www.thecocktaildb.com/images/media/drink/dhvr7d1504519752.jpg,95,4,1.0
97,Espresso Martini,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass",https://www.thecocktaildb.com/images/media/drink/n0sx531504372951.jpg,96,1,1.0
98,Espresso Rumtini,Mix together in a cocktail glass. Garnish with some choclate powder and coffee beans,https://www.thecocktaildb.com/images/media/drink/acvf171561574403.jpg,97,1,1.0
99,Egg Nog - Healthy,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.",https://www.thecocktaildb.com/images/media/drink/qxuppv1468875308.jpg,98,5,Unknown
100,English Rose Cocktail,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,https://www.thecocktaildb.com/images/media/drink/yxwrpp1441208697.jpg,99,1,1.0
101,Elderflower Caipirinha,Take the glass and muddle the lime in it. Fill the glass with crushed ice and add the Cachaca. Stir well and top with some more crushed ice. Garnish with lime and enjoy!,https://www.thecocktaildb.com/images/media/drink/dif7a31614006331.jpg,100,5,1.0
102,Egg-Nog - Classic Cooked,"In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately.",https://www.thecocktaildb.com/images/media/drink/quxsvt1468875505.jpg,101,17,Unknown
103,Empellón Cocina's Fat-Washed Mezcal,"To ensure that your pork fat is just as delicious as theirs, here’s their adobo marinade and what to do with it (you’ll also need a rack of ribs):

4 ancho chiles, 8 guajillo chiles and 4 chipotle chiles, plus 4 cloves roasted garlic, half a cup of cider vinegar, a quarter teaspoon of Mexican oregano, 1 teaspoon of ground black pepper, a whole clove, a quarter teaspoon of ground cinnamon and a half teaspoon of ground cumin.

Toast the dried chiles and soak in water for at least an hour until they are rehydrated. Drain and discard the soaking liquid. Combine the soaked chiles with the remaining ingredients and purée until smooth.

Cold smoke a rack of baby back pork ribs by taking a large hotel pan with woodchips on one side and charcoal on the other. Place another, smaller, pan with pork ribs, above the charcoal/woodchip pan. Ignite the charcoal, being careful to not ignite the woodchips. Cover both pans with foil and allow to smoke for 10-15 minutes, until desired level of smoke is achieved, then coat with adobo marinade and wrap in tin foil prior to placing ribs in a 300 degree oven for 7 hours. When the ribs have cooled, strain off the fat and use for the infusion.

If you’re having a hard time coming up to the same kind of volume of fat, make up the balance with pork lard from a butcher. To get the same depth of flavor without the ribs, heat up the fat in a pot with a few spoons of the marinade.

Once you’ve got your tub of seasoned pork fat in cooled liquid form, pour equal amounts of Ilegal Joven mezcal and fat into a sealable container. Seal the container and give it a really good shake, then put it in the freezer overnight. When the whole thing is separated and congealed, pour it through a fine mesh chinoise. If you don’t have a chinoise, try a fine mesh strainer, or if you don’t have one of those, try spooning off most of the fat. There will be some beads of orange fat left in the strained mezcal: run that through a few layers of cheesecloth (or coffee filters in a pinch) to get rid of the last of it.

The mezcal is now ready for drinking, straight-up or in a cocktail. 

Habanero tincture

Slice habaneros and add 2 ounces Ilegal Joven mezcal.
Allow to sit overnight or until desired level of heat is achieved.
Cocktail

Combine mezcal and chocolate liqueur in a mixing glass with ice and stir for 45 seconds.
Strain into chilled coupe.
Carefully ""sink"" the coffee liqueur down the inside of the coupe over a spoon.
Garnish with 5 drops habanero tincture.",https://www.thecocktaildb.com/images/media/drink/osgvxt1513595509.jpg,102,18,1.0
104,Frosé,"Step 1
Pour rosé into a 13x9"" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.

Step 2
Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.

Step 3
Scrape rosé into a blender. Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes.

Step 4
Blend again until frosé is slushy. Divide among glasses.

Step 5
Do Ahead: Rosé can be frozen 1 week ahead.",https://www.thecocktaildb.com/images/media/drink/b4cadp1619695347.jpg,103,1,1.0
105,Frappé,"Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing.",https://www.thecocktaildb.com/images/media/drink/vqwryq1441245927.jpg,104,4,0.0
106,Foxy Lady,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/r9cz3q1504519844.jpg,105,1,1.0
107,French 75,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.",https://www.thecocktaildb.com/images/media/drink/hrxfbl1606773109.jpg,106,5,1.0
108,Figgy Thyme,"In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 2 dashes of angostura bitters. Garnish with sliced figs and thyme.",https://www.thecocktaildb.com/images/media/drink/pbw4e51606766578.jpg,107,4,1.0
109,Frisco Sour,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,https://www.thecocktaildb.com/images/media/drink/acuvjz1582482022.jpg,108,7,1.0
110,Fruit Shake,Blend til smooth.,https://www.thecocktaildb.com/images/media/drink/q0fg2m1484430704.jpg,109,4,0.0
111,Fruit Cooler,"Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve.",https://www.thecocktaildb.com/images/media/drink/i3tfn31484430499.jpg,110,4,0.0
112,Freddy Kruger,make it an ample size shot!!,https://www.thecocktaildb.com/images/media/drink/tuppuq1461866798.jpg,111,2,1.0
113,Funk and Soul,Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.,https://www.thecocktaildb.com/images/media/drink/qtv83q1596015790.jpg,112,5,1.0
114,Fuzzy Asshole,fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.,https://www.thecocktaildb.com/images/media/drink/wrvpuu1472667898.jpg,113,13,1.0
115,French Martini,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,https://www.thecocktaildb.com/images/media/drink/clth721504373134.jpg,114,1,1.0
116,French Negroni,"Add ice to a shaker and pour in all ingredients.
Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist.",https://www.thecocktaildb.com/images/media/drink/x8lhp41513703167.jpg,115,3,1.0
117,Fahrenheit 5000,Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.,https://www.thecocktaildb.com/images/media/drink/tysssx1473344692.jpg,116,2,1.0
